Token Count,Model,GPU Count,GPU Carbon (kg),FAISS: Flat TB,FAISS: PQ128 TB,FAISS: PQ256 TB,FAISS: SQ8 TB,FAISS: HNSW TB,FAISS: Flat Carbon (kg),FAISS: PQ128 Carbon (kg),FAISS: PQ256 Carbon (kg),FAISS: SQ8 Carbon (kg),FAISS: HNSW Carbon (kg),Total Carbon (Flat),Total Carbon (PQ128),Total Carbon (PQ256),Total Carbon (SQ8),Total Carbon (HNSW)
14000000000,Llama 3 8B,2,83.6,0.96,0.96,0.96,0.96,0.96,16.23936,16.23936,16.23936,16.23936,16.23936,99.83936,99.83936,99.83936,99.83936,99.83936
14000000000,Llama 2 7B,1,41.8,0.96,0.96,0.96,0.96,0.96,16.23936,16.23936,16.23936,16.23936,16.23936,58.03936,58.03936,58.03936,58.03936,58.03936
14000000000,Llama 2 13B,2,83.6,0.96,0.96,0.96,0.96,0.96,16.23936,16.23936,16.23936,16.23936,16.23936,99.83936,99.83936,99.83936,99.83936,99.83936
140000000000,Llama 3 8B,2,83.6,3.84,1.92,1.92,2.88,2.88,64.95744,32.47872,32.47872,48.71808,48.71808,148.55743999999999,116.07872,116.07872,132.31808,132.31808
140000000000,Llama 2 7B,1,41.8,3.84,1.92,1.92,2.88,2.88,64.95744,32.47872,32.47872,48.71808,48.71808,106.75744,74.27871999999999,74.27871999999999,90.51808,90.51808
140000000000,Llama 2 13B,2,83.6,3.84,1.92,1.92,2.88,2.88,64.95744,32.47872,32.47872,48.71808,48.71808,148.55743999999999,116.07872,116.07872,132.31808,132.31808
350000000000,Llama 3 8B,2,83.6,8.64,4.8,4.8,5.76,6.72,146.15424000000002,81.1968,81.1968,97.43616,113.67551999999999,229.75424,164.7968,164.7968,181.03616,197.27551999999997
350000000000,Llama 2 7B,1,41.8,8.64,4.8,4.8,5.76,6.72,146.15424000000002,81.1968,81.1968,97.43616,113.67551999999999,187.95424000000003,122.9968,122.9968,139.23615999999998,155.47552
350000000000,Llama 2 13B,2,83.6,8.64,4.8,4.8,5.76,6.72,146.15424000000002,81.1968,81.1968,97.43616,113.67551999999999,229.75424,164.7968,164.7968,181.03616,197.27551999999997
700000000000,Llama 3 8B,2,83.6,17.28,9.6,9.6,11.52,13.44,292.30848000000003,162.3936,162.3936,194.87232,227.35103999999998,375.90848000000005,245.9936,245.9936,278.47231999999997,310.95104
700000000000,Llama 2 7B,1,41.8,17.28,9.6,9.6,11.52,13.44,292.30848000000003,162.3936,162.3936,194.87232,227.35103999999998,334.10848000000004,204.1936,204.1936,236.67232,269.15103999999997
700000000000,Llama 2 13B,2,83.6,17.28,9.6,9.6,11.52,13.44,292.30848000000003,162.3936,162.3936,194.87232,227.35103999999998,375.90848000000005,245.9936,245.9936,278.47231999999997,310.95104
1000000000000,Llama 3 8B,2,83.6,24.0,13.44,14.399999999999999,16.32,19.2,405.98400000000004,227.35103999999998,243.5904,276.06912,324.7872,489.58400000000006,310.95104,327.19039999999995,359.66912,408.3872
1000000000000,Llama 2 7B,1,41.8,24.0,13.44,14.399999999999999,16.32,19.2,405.98400000000004,227.35103999999998,243.5904,276.06912,324.7872,447.78400000000005,269.15103999999997,285.3904,317.86912,366.5872
1000000000000,Llama 2 13B,2,83.6,24.0,13.44,14.399999999999999,16.32,19.2,405.98400000000004,227.35103999999998,243.5904,276.06912,324.7872,489.58400000000006,310.95104,327.19039999999995,359.66912,408.3872
1400000000000,Llama 3 8B,2,83.6,33.6,19.2,19.2,22.08,26.88,568.3776,324.7872,324.7872,373.50527999999997,454.70207999999997,651.9776,408.3872,408.3872,457.10528,538.3020799999999
1400000000000,Llama 2 7B,1,41.8,33.6,19.2,19.2,22.08,26.88,568.3776,324.7872,324.7872,373.50527999999997,454.70207999999997,610.1776,366.5872,366.5872,415.30528,496.50208
1400000000000,Llama 2 13B,2,83.6,33.6,19.2,19.2,22.08,26.88,568.3776,324.7872,324.7872,373.50527999999997,454.70207999999997,651.9776,408.3872,408.3872,457.10528,538.3020799999999
